restaurant_id,year_month,monthly_bookings,monthly_revenue,avg_revenue_per_booking,avg_guests,active_days,booking_growth_pct,revenue_growth_pct,booking_growth_rolling,revenue_growth_rolling,perf_bookings_rank,perf_spend_rank,performance_score,growth_bookings_rank,growth_revenue_rank,growth_score,momentum_score,momentum_segment
6206,2025-12-01,281.0,321383.2,1143.7124555160142,3.7224199288256226,29,3.6833333333333336,6.0532599439923445,20.727777777777778,11.855001022303199,0.952587660148348,0.9873567093728928,0.9699721847606204,0.9897448864913464,0.9828894133513149,0.9863171499213306,0.9781446673409755,Rising Stars
6462,2025-12-01,686.0,398676.24,581.1606997084548,4.428571428571429,31,-0.2883817427385892,-0.007762239599164444,8.880706729254447,8.995685349881366,0.978885704652731,0.9328500786693639,0.9558678916610475,0.9788435603506406,0.9769611148572713,0.977902337603956,0.9668851146325017,Rising Stars
6207,2025-12-01,126.0,109029.8,865.3158730158731,2.8095238095238093,28,0.1454545454545455,0.07270773850401113,11.854040404040404,19.676705631255306,0.9136182288154642,0.9748258035513598,0.9442220161834121,0.9834513373791863,0.9894077320746235,0.986429534726905,0.9653257754551585,Rising Stars
5940,2025-12-01,741.0,365123.52,492.7442914979757,2.5290148448043186,31,0.2688356164383561,0.4565309176343535,7.669910658327257,7.01000070809907,0.9805152843335581,0.8993875028096201,0.9399513935715891,0.976258709822432,0.9709204315576534,0.9735895706900427,0.9567704821308158,Rising Stars
2909,2025-12-01,518.0,401795.0695999981,984.9478764478764,2.5907335907335907,28,3.7962962962962967,4.294823970639566,2.568462401795735,2.600758366586429,0.9720161834120027,0.981175545066307,0.9765958642391548,0.9346482355585525,0.9182119577433131,0.9264300966509328,0.9515129804450437,Rising Stars
6049,2025-12-01,99.0,77279.16,780.5975757575758,2.4444444444444446,16,2.0,1.901261431725008,3.0833333333333335,9.37077366566115,0.8992189256012587,0.9680827152169027,0.9336508204090808,0.9456900427062261,0.9777759046976848,0.9617329737019555,0.9476918970555182,Rising Stars
2990,2025-12-01,40.0,63338.4,1242.0,8.5,15,39.0,169.81553398058253,13.0,56.655122252167416,0.8134693189480782,0.9949988761519443,0.9042340975500112,0.9845470892335356,0.9960103394021128,0.9902787143178242,0.9472564059339177,Rising Stars
5020,2025-12-01,57.0,35400.12,621.0547368421053,2.7719298245614037,3,56.0,177.78848484848487,19.11111111111111,59.911018571950855,0.853422117329737,0.9432456731849854,0.8983338952573612,0.9888177118453585,0.9965722634299843,0.9926949876376714,0.9455144414475163,Rising Stars
6443,2025-12-01,55.0,36943.44,671.6989090909092,7.709090909090909,18,26.5,64.4468537414966,9.0,22.09434131808752,0.8498398516520567,0.9537536525061812,0.9017967520791189,0.9793211957743313,0.9903910991233985,0.9848561474488648,0.9433264497639919,Rising Stars
5654,2025-12-01,54.0,64602.0,1196.3333333333333,6.537037037037037,20,12.5,15.698200992555833,4.944444444444445,7.0332939356725355,0.8478309732524163,0.9885086536300293,0.9181698134412228,0.9650764216677905,0.9710890087660148,0.9680827152169027,0.9431262643290628,Rising Stars
4647,2025-12-01,90.0,93109.23,1034.547,2.5,20,5.923076923076923,5.6201686802498205,3.0076923076923077,3.7019757676567866,0.8924758372668016,0.9832265677680377,0.9378512025174197,0.9443133288379411,0.9437233086086761,0.9440183187233087,0.9409347606203642,Rising Stars
5562,2025-12-01,54.0,72802.56,1242.0,3.185185185185185,21,1.8421052631578947,2.5364258484209055,3.7807017543859645,3.545412330336083,0.8478309732524163,0.9949988761519443,0.9214149247021803,0.954877500561924,0.9412508428860418,0.9480641717239828,0.9347395482130816,Rising Stars
2381,2025-12-01,172.0,83063.8,482.9290697674419,2.5232558139534884,26,0.06172839506172845,-0.30825936838458545,3.433274544385655,4.408691798893527,0.930152843335581,0.895201168801978,0.9126770060687794,0.9509159361654305,0.9543155765340526,0.9526157563497415,0.9326463812092605,Rising Stars
5992,2025-12-01,242.0,131205.6,542.1719008264463,3.06198347107438,27,4.761904761904762,4.7991938050281115,2.4206349206349205,3.0274751750821545,0.9459148123173747,0.9204877500561924,0.9332012811867836,0.930742863564846,0.9306585749606653,0.9307007192627557,0.9319510002247696,Rising Stars
3371,2025-12-01,37.0,31407.6,848.854054054054,6.621621621621622,17,17.5,24.659803921568628,5.916666666666667,8.641670085365476,0.8028349067206114,0.9738705327039784,0.8883527197122949,0.9706394695437177,0.9759496516071027,0.9732945605754102,0.9308236401438525,Rising Stars
5452,2025-12-01,55.0,31290.0,568.9090909090909,7.9818181818181815,20,17.333333333333332,11.446300715990454,5.727777777777778,4.727198277879171,0.8498398516520567,0.9292537648909868,0.8895468082715217,0.9697403910991234,0.9573499662845584,0.9635451786918409,0.9265459934816813,Rising Stars
4652,2025-12-01,24.0,38490.0,1242.0,5.5,8,23.0,144.79545454545453,7.5,47.84124645031178,0.7397167902899529,0.9949988761519443,0.8673578332209486,0.9758794111036188,0.9950550685547314,0.9854672398291751,0.9264125365250618,Rising Stars
4199,2025-12-01,64.0,29229.0,456.703125,2.484375,16,0.8823529411764706,1.0948183186411526,5.9607843137254894,7.85881755556321,0.864829175095527,0.8803944706675657,0.8726118228815464,0.9708642391548663,0.9738424365025848,0.9723533378287256,0.922482580355136,Rising Stars
