Ad name,Delivery status,Delivery level,Reach,Impressions,Frequency,Result type,Results,Amount spent (THB),Cost per result,Starts,Ends,Rest ID ,Rest 2,Rest 3,Rest 4,Rest 5
SRC=KOL|COUNTRY=TH|RID=4503+837|RNAME=COPPER_BEYOND_BUFFET|TYPE=IMG|CAMP=COPPER CAMPAIGN|KOLID=HH-PLS|PLAT=FB|DATE=2025-12-03,active,ad,156467,332013,2.12193625,Website purchases,689,7396.81,10.73557329,20/03/2025,,4503,837,,,
SRC=KOL|COUNTRY=TH|RID=4503+837|RNAME=COPPER_BEYOND_BUFFET|TYPE=IMG|CAMP=COPPER CAMPAIGN|KOLID=HH-KJK|PLAT=FB|DATE=2025-12-04,active,ad,78081,167712,2.14792331,Website purchases,340,5438.39,15.99526471,20/03/2025,,4503,837,,,
SRC=KOL|COUNTRY=TH|RID=4503+837|RNAME=COPPER_BEYOND_BUFFET|TYPE=IMG|CAMP=COPPER CAMPAIGN|KOLID=HH-PLS|PLAT=FB|DATE=2025-12-03,active,ad,56111,85464,1.52312381,Website purchases,191,2230.25,11.67670157,20/03/2025,,4503,837,,,
SRC=KOL|COUNTRY=TH|RID=4503+837|RNAME=COPPER_BEYOND_BUFFET|TYPE=IMG|CAMP=COPPER CAMPAIGN|KOLID=HH-KJK|PLAT=FB|DATE=2025-12-04,active,ad,37510,66331,1.76835511,Website purchases,117,2158.46,18.44837607,20/03/2025,,4503,837,,,
SRC=KOL|COUNTRY=TH|RID=4503+837|RNAME=COPPER_BEYOND_BUFFET|TYPE=IMG|CAMP=COPPER BEYOND BUFFET CAMPAIGN|KOLID=HH-CTH|PLAT=FB|DATE=2025-12-15,active,ad,4327,5107,1.18026346,Website purchases,3,224.04,74.68,20/03/2025,,4503,837,,,
SRC=KOL|COUNTRY=TH|RID=4503+837|RNAME=COPPER_BEYOND_BUFFET|TYPE=IMG|CAMP=COPPER BEYOND BUFFET CAMPAIGN|KOLID=HH-CTH|PLAT=FB|DATE=2025-12-15,active,ad,5177,5833,1.12671431,Website purchases,1,199.04,199.04,20/03/2025,,4503,837,,,
SRC=HH|COUNTRY=TH|RID=4503+837|RNAME=COPPER_BEYOND_BUFFET|TYPE=IMG|CAMP=COPPER BEYOND BUFFET CAMPAIGN|PLAT=FB|DATE=2025-12-15,active,ad,1922,2313,1.20343392,,,64.01,,20/03/2025,,4503,837,,,
SRC=HH|COUNTRY=TH|RID=4503+837|RNAME=COPPER_BEYOND_BUFFET|TYPE=IMG|CAMP=COPPER BEYOND BUFFET CAMPAIGN|PLAT=FB|DATE=2025-12-15,active,ad,1498,1844,1.23097463,,,60.02,,20/03/2025,,4503,837,,,
SRC=KOL|COUNTRY=TH|RID=4503+837|RNAME=COPPER_BEYOND_BUFFET|TYPE=IMG|CAMP=COPPER CAMPAIGN|KOLID=HH-PLS|PLAT=FB|DATE=2025-12-03,active,ad,18485,25956,1.40416554,Website purchases,64,535.49,8.36703125,25/03/2025,,4503,837,,,
SRC=KOL|COUNTRY=TH|RID=4503+837|RNAME=COPPER_BEYOND_BUFFET|TYPE=IMG|CAMP=COPPER CAMPAIGN|KOLID=HH-PLS|PLAT=FB|DATE=2025-12-03,active,ad,11507,14569,1.2660989,Website purchases,27,336.82,12.47481481,25/03/2025,,4503,837,,,
SRC=KOL|COUNTRY=TH|RID=4503+837|RNAME=COPPER_BEYOND_BUFFET|TYPE=IMG|CAMP=COPPER CAMPAIGN|KOLID=HH-KJK|PLAT=FB|DATE=2025-12-04,active,ad,2361,2643,1.11944091,Website purchases,5,72.7,14.54,25/03/2025,,4503,837,,,
SRC=KOL|COUNTRY=TH|RID=4503+837|RNAME=COPPER_BEYOND_BUFFET|TYPE=IMG|CAMP=COPPER CAMPAIGN|KOLID=HH-KJK|PLAT=FB|DATE=2025-12-04,active,ad,462,507,1.0974026,,,15.85,,25/03/2025,,4503,837,,,
SRC=HH|COUNTRY=TH|RID=4503+837|RNAME=COPPER_BEYOND_BUFFET|TYPE=IMG|CAMP=COPPER BEYOND BUFFET CAMPAIGN|PLAT=FB|DATE=2025-12-15,active,ad,143,151,1.05594406,,,4.72,,25/03/2025,,4503,837,,,
SRC=KOL|COUNTRY=TH|RID=4503+837|RNAME=COPPER_BEYOND_BUFFET|TYPE=IMG|CAMP=COPPER BEYOND BUFFET CAMPAIGN|KOLID=HH-CTH|PLAT=FB|DATE=2025-12-15,active,ad,97,98,1.01030928,,,4.68,,25/03/2025,,4503,837,,,
SRC=KOL|COUNTRY=TH|RID=4503+837|RNAME=COPPER_BEYOND_BUFFET|TYPE=IMG|CAMP=COPPER BEYOND BUFFET CAMPAIGN|KOLID=HH-CTH|PLAT=FB|DATE=2025-12-15,active,ad,53,55,1.03773585,,,1.79,,25/03/2025,,4503,837,,,
SRC=HH|COUNTRY=TH|RID=4503+837|RNAME=COPPER_BEYOND_BUFFET|TYPE=IMG|CAMP=COPPER BEYOND BUFFET CAMPAIGN|PLAT=FB|DATE=2025-12-15,active,ad,51,51,1,,,1.74,,25/03/2025,,4503,837,,,
SRC=HH|COUNTRY=TH|RID=4503+837|RNAME=COPPER-BEYOND-BUFFET|TYPE=IMG|CAMP=TOURIST-ASIA-COUNTRY|PLAT=FB|DATE=2025-11-14,inactive,ad,85363,246079,2.88273608,Website purchases,199,26365.34,132.4891457,14/11/2025,,4503,837,,,
SRC=HH|COUNTRY=TH|RID=4503+837|RNAME=COPPER-BEYOND-BUFFET|TYPE=IMG|CAMP=TOURIST-WESTERN-COUNTRY|PLAT=FB|DATE=2025-11-14,inactive,ad,28906,115591,3.99885837,Website purchases,103,27498.54,266.9761165,14/11/2025,,4503,837,,,
SRC=HH|COUNTRY=TH|RID=4503+837|RNAME=COPPER-BEYOND-BUFFET|TYPE=IMG|CAMP=TOURIST-SEA-COUNTRY|PLAT=FB|DATE=2025-11-14,inactive,ad,537284,879475,1.63689036,Website purchases,50,13658.47,273.1694,14/11/2025,,4503,837,,,
SRC=HH|COUNTRY=TH|RID=4503+837|RNAME=COPPER-BEYOND-BUFFET|TYPE=IMG|CAMP=TOURIST-JAPAN|PLAT=FB|DATE=2025-11-14,not_delivering,ad,35692,86905,2.43485935,Website purchases,17,10704.19,629.6582353,14/11/2025,,4503,837,,,
SRC=HH|COUNTRY=TH|RID=4503+837|RNAME=COPPER-BEYOND-BUFFET|TYPE=IMG|CAMP=TOURIST-KOREA|PLAT=FB|DATE=2025-11-14,inactive,ad,25713,55660,2.16466379,Website purchases,12,6391.89,532.6575,14/11/2025,,4503,837,,,
SRC=HH|COUNTRY=TH|RID=4503+837|RNAME=COPPER-BEYOND-BUFFET|TYPE=IMG|CAMP=TOURIST-KOREA|PLAT=FB|DATE=2025-11-14,inactive,ad,20687,39466,1.90776816,Website purchases,8,7040.76,880.095,14/11/2025,,4503,837,,,
SRC=HH|COUNTRY=TH|RID=4503+837|RNAME=COPPER-BEYOND-BUFFET|TYPE=IMG|CAMP=TOURIST-JAPAN|PLAT=FB|DATE=2025-11-21,not_delivering,ad,11905,27885,2.34229315,Website purchases,3,4942.98,1647.66,14/11/2025,,4503,837,,,
SRC=HH|COUNTRY=TH|RID=4503+837|RNAME=COPPER_BEYOND_BUFFET|TYPE=IMG|CAMP=TOURIST-MENA-COUNTRY|PLAT=FB|DATE=2025-11-26,inactive,ad,21989,38646,1.75751512,Website purchases,1,1970.72,1970.72,26/11/2025,,4503,837,,,
SRC=HH|COUNTRY=TH|RID=4503+837|RNAME=COPPER-BEYOND-BUFFET|TYPE=IMG|CAMP=TOURIST-KOREA|PLAT=FB|DATE=2025-11-14,archived,ad,8,9,1.125,,,0.24,,26/11/2025,,4503,837,,,
SRC=HH|COUNTRY=TH|RID=4503+837|RNAME=COPPER-BEYOND-BUFFET|TYPE=IMG|CAMP=TOURIST-ASIA-COUNTRY|PLAT=FB|DATE=2025-11-14,active,ad,85869,272273,3.17079505,Website purchases,138,30169.64,218.6205797,03/12/2025,,4503,837,,,
SRC=HH|COUNTRY=TH|RID=4503+837|RNAME=COPPER-BEYOND-BUFFET|TYPE=IMG|CAMP=TOURIST-WESTERN-COUNTRY|PLAT=FB|DATE=2025-11-14,active,ad,13322,37392,2.80678577,Website purchases,57,7335.85,128.6991228,03/12/2025,,4503,837,,,
SRC=HH|COUNTRY=TH|RID=4503+837|RNAME=COPPER-BEYOND-BUFFET|TYPE=IMG|CAMP=TOURIST-SEA-COUNTRY|PLAT=FB|DATE=2025-11-14,active,ad,66539,166164,2.49724222,Website purchases,33,7404.35,224.3742424,03/12/2025,,4503,837,,,
SRC=HH|COUNTRY=TH|RID=4503+837|RNAME=COPPER_BEYOND_BUFFET|TYPE=IMG|CAMP=TOURIST-MENA-COUNTRY|PLAT=FB|DATE=2025-11-26,not_delivering,ad,34991,71346,2.03898145,Website purchases,8,3078.51,384.81375,03/12/2025,,4503,837,,,
SRC=HH|COUNTRY=TH|RID=4503+837|RNAME=COPPER-BEYOND-BUFFET|TYPE=IMG|CAMP=TOURIST-KOREA|PLAT=FB|DATE=2025-11-14,not_delivering,ad,11917,25261,2.1197449,Website purchases,3,2860.81,953.6033333,03/12/2025,,4503,837,,,
SRC=HH|COUNTRY=TH|RID=4503+837|RNAME=COPPER-BEYOND-BUFFET|TYPE=IMG|CAMP=TOURIST-KOREA|PLAT=FB|DATE=2025-11-14,not_delivering,ad,10176,15291,1.5026533,Website purchases,2,2721.68,1360.84,03/12/2025,,4503,837,,,
SRC=KOL|COUNTRY=TH|RID=1747+2102|RNAME=JUMBO-SEAFOOD|TYPE=IMG|KOLID=HH|PLAT=FB|DATE=2025-10-30 - Copy,inactive,ad,503,607,1.20675944,Website purchases,1,22.78,22.78,06/06/2025,27/05/2026,1747,2102,,,
SRC=KOL|COUNTRY=TH|RID=1747+2102|RNAME=JUMBO-SEAFOOD|TYPE=IMG|KOLID=HH|PLAT=FB|DATE=2025-10-30,active,ad,1481,2216,1.49628629,Website purchases,4,115.17,28.7925,10/06/2025,,1747,2102,,,
SRC=KOL|COUNTRY=TH|RID=1747+2102|RNAME=JUMBO-SEAFOOD|TYPE=IMG|KOLID=HH|PLAT=FB|DATE=2025-10-30 - Copy,inactive,ad,941,1207,1.282678,,,41.76,,16/06/2025,27/05/2026,1747,2102,,,
SRC=MP|COUNTRY=TH|RID=3181+2447+2252|RNAME=BEEF_EXPRESS_BUFFET|TYPE=IMG|CAMP=MP - NOV'25|KOLID=HH-UNCLE|PLAT=FB|DATE=2025-11-27,inactive,ad,2831,4174,1.47439067,Website purchases,10,146.85,14.685,13/11/2025,12/12/2025,3181,2447,2252,,
SRC=KOL|COUNTRY=TH|RID=5845+3905|RNAME=MAN_FU_YUAN|TYPE=IMG|KOLID=HH-RHOI|PLAT=FB|DATE=2025-12-15,active,ad,54,58,1.07407407,,,2.4,,10/06/2025,,5845,3905,,,
SRC=HH|COUNTRY=TH|RID=5845+4350+3905|RNAME=MAN_FU_YUAN|TYPE=IMG|PLAT=FB|DATE=2025-12-15,active,ad,6,6,1,,,0.36,,22/04/2025,,5845,4350,3905,,
SRC=HH|COUNTRY=TH|RID=5845+4350+3905|RNAME=MAN_FU_YUAN|TYPE=IMG|PLAT=FB|DATE=2025-12-15 - Copy,active,ad,61,63,1.03278689,,,1.05,,06/06/2025,27/05/2026,5845,4350,3905,,
SRC=HH|COUNTRY=TH|RID=5845+4350+3905|RNAME=MAN_FU_YUAN|TYPE=IMG|PLAT=FB|DATE=2025-12-15 - Copy,active,ad,49,55,1.12244898,,,1.15,,16/06/2025,27/05/2026,5845,4350,3905,,
SRC=HH|COUNTRY=TH|RID=5845+4350+3905|RNAME=MAN_FU_YUAN|TYPE=IMG|PLAT=FB|DATE=2025-12-15 - Copy,active,ad,174,182,1.04597701,Website purchases,1,7.12,7.12,07/10/2025,,5845,4350,3905,,
SRC=KOL|RID=5684+5685|RNAME=PENGYOU_CUISINE__SPECIALTY_BAR|KOLID=HH-KJT|PLAT=FB,inactive,ad,648,814,1.25617284,,,35.06,,20/08/2025,,5684,5685,,,
SRC=HH|COUNTRY=TH|RID=5939+5940|RNAME=HOTARU_119_OMAKASE|TYPE=IMG|CAMP=TOURIST-KOREA|PLAT=FB|DATE=2025-11-28,not_delivering,ad,1753,2237,1.27609812,,,295.84,,14/11/2025,,5939,5940,,,
SRC=HH|RID=1483+6460+701+6483+6507|RNAME=TOP_NEW_RESTAURANTS_FOR_EXISTING|PLAT=FB|DATE=2025-10-22,active,ad,26152,67136,2.56714592,Website purchases,130,3017.67,23.21284615,08/10/2025,,1483,6460,701,6483,6507
crs_hh_ctg_all product,not_delivering,ad,79596,365789,4.59557013,actions:purchase,"1,093",22669.49,20.74061299,29/01/2024,,~,,,,
single_hh_ctg_all product,not_delivering,ad,63692,246620,3.87207185,actions:purchase,600,13264.07,22.10678333,29/01/2024,,~,,,,
single_hh_ctg_all product,not_delivering,ad,11858,153272,12.92561983,actions:purchase,560,11300.91,20.18019643,29/01/2024,,~,,,,
single_hh_ctg_all product,not_delivering,ad,9090,125395,13.79482948,actions:purchase,342,6850.13,20.02961988,29/01/2024,,~,,,,
crs_hh_ctg_all product,not_delivering,ad,5463,40242,7.36628226,actions:purchase,137,2812.31,20.52781022,29/01/2024,,~,,,,
single_hh_ctg_all product,not_delivering,ad,1723,30553,17.73244341,actions:purchase,70,1825.08,26.07257143,29/01/2024,,~,,,,
crs_hh_ctg_all product,not_delivering,ad,3142,14069,4.4777212,actions:purchase,34,661.45,19.45441176,29/01/2024,,~,,,,
crs_hh_ctg_all product,not_delivering,ad,1113,8973,8.06199461,actions:purchase,21,526.9,25.09047619,29/01/2024,,~,,,,
album_hh_res_grp_12-บุฟเฟต์โรงแรม,inactive,ad,165182,402431,2.43628846,Website purchases,"2,465",21583.29,8.75589858,22/08/2024,,12,,,,
album_hh_res_grp_top-rooftop-glam-2025,inactive,ad,127883,228518,1.78693024,Website purchases,671,7087.63,10.56278689,22/08/2024,,2025,,,,
kol-fd_hh-ott_res_2001_the-dining-room-at-grand-hyatt-erawan-bangkok-thailand,not_delivering,ad,132890,468233,3.52346301,Website purchases,595,14667.4,24.65109244,22/08/2024,,2001,,,,
kol-fd_hh-kmg_res_3629_savio-at-chatrium-grand-bangkok,not_delivering,ad,144452,271245,1.87775178,Website purchases,465,7363.02,15.83445161,22/08/2024,,3629,,,,
album_hh_res_grp_10-รูฟท็อปใกล้รถไฟฟ้า,inactive,ad,24556,54295,2.21106858,Website purchases,315,2902.35,9.21380952,22/08/2024,,,,,,
album_hh_res_grp_top-6-staycations,inactive,ad,30197,68883,2.28112064,Website purchases,171,3095.04,18.09964912,22/08/2024,,,,,,
album_hh_res_grp_pattaya-staycation-2days1night,inactive,ad,52569,113750,2.16382279,Website purchases,154,3794.88,24.64207792,22/08/2024,,,,,,
kol-fd_suptanhappygirl_3629_savio_key – Copy,not_delivering,ad,27784,71563,2.57569105,Website purchases,139,3049.36,21.93784173,22/08/2024,,3629,,,,
kol-fd_hh-pyb_res_2001_the-dining-room-at-grand-hyatt-erawan,not_delivering,ad,39503,54700,1.38470496,Website purchases,122,1611.22,13.20672131,22/08/2024,,2001,,,,
kol-fd_hh-tmd_res_3629_savio-at-chatrium-grand-bangkok,inactive,ad,23026,51646,2.24294276,Website purchases,104,821.46,7.89865385,22/08/2024,,3629,,,,
kol-ls_rhoireview_3629_savio_key – Copy,not_delivering,ad,27299,49788,1.82380307,Website purchases,96,2530.66,26.36104167,22/08/2024,,3629,,,,
kol-fd_hh-ucd_2001_the dining room,not_delivering,ad,23050,30707,1.33219089,Website purchases,93,1145.58,12.31806452,22/08/2024,,2001,,,,
album_hh_brn_3990_chef-thanom,inactive,ad,62313,94673,1.51931379,Website purchases,87,2264.81,26.03229885,22/08/2024,,3990,,,,
kol-tv_hh-twt_res_2001_the-dining-room-at-grand-hyatt-erawan,not_delivering,ad,26155,53626,2.05031543,Website purchases,85,2505.04,29.47105882,22/08/2024,,2001,,,,
kol-ls_hh-rhoi_3629_savio_key – Copy,not_delivering,ad,8645,21024,2.43192597,Website purchases,84,1420.07,16.90559524,22/08/2024,,3629,,,,
album_hh_res_grp_bangkok-staycation,inactive,ad,5830,11070,1.89879931,Website purchases,76,523.26,6.885,22/08/2024,,~,,,,
album_hh_brn_164_beef-express-buffet,inactive,ad,60796,97116,1.59740772,Website purchases,72,2282.56,31.70222222,22/08/2024,,164,,,,
kol-ls_hh-rhoi_res_3629_savio-at-chatrium-grand-bangkok – Copy,inactive,ad,33932,56307,1.65940705,Website purchases,65,1475.34,22.69753846,22/08/2024,,3629,,,,
kol-fd_hh-jpa_res_3629_savio-at-chatrium-grand-bangkok – Copy,not_delivering,ad,13061,27390,2.09708292,Website purchases,60,1056.48,17.608,22/08/2024,,3629,,,,
album_hh_res_4751_about-beef-lava-grill,inactive,ad,24522,41766,1.70320529,Website purchases,59,1522.17,25.79949153,22/08/2024,,4751,,,,
album_hh_brn_grp_rooftop-nov2024 - Copy,inactive,ad,24024,32116,1.33682984,Website purchases,57,862.89,15.13842105,22/08/2024,,2024,,,,
kol-fd_immmheetv_3629_savio_key – Copy,inactive,ad,23057,40400,1.75217938,Website purchases,55,1067.85,19.41545455,22/08/2024,,3629,,,,
kol-ls_hh-jnjn_res_3629_savio-at-chatrium-grand-bangkok,inactive,ad,30263,52440,1.73280904,Website purchases,53,1554.93,29.33830189,22/08/2024,,3629,,,,
Album_HH_2001_The Dining Room at Grand Hyatt Erawan_KEY,inactive,ad,7641,16173,2.11660777,Website purchases,49,1446.17,29.51367347,22/08/2024,,2001,,,,
kol-ls_nonnunnee_3629_savio_key – Copy,not_delivering,ad,10397,15964,1.53544292,Website purchases,46,799.09,17.37152174,22/08/2024,,3629,,,,
kol-ls_hh-mlt_res_2001_the-dining-room-at-grand-hyatt-erawan,not_delivering,ad,15779,27849,1.76494074,Website purchases,37,1156.3,31.25135135,22/08/2024,,2001,,,,
vdo_hh_brn_4653_meng-pu-dong-reel,inactive,ad,14518,23872,1.64430362,Website purchases,34,881.33,25.92147059,22/08/2024,,4653,,,,
mimlikesthis I The Dining Room,not_delivering,ad,3464,5271,1.52165127,Website purchases,31,224.15,7.23064516,22/08/2024,,~,,,,
kol-fd_uncledeng_3629_savio_key – Copy,not_delivering,ad,23003,36825,1.60087815,Website purchases,30,1028.84,34.29466667,22/08/2024,,3629,,,,
album_hh_res_grp_songkran-splash-deals-family-meal,inactive,ad,5446,8626,1.5839148,Website purchases,30,493.86,16.462,22/08/2024,,~,,,,
kol-fd_hh-nbt_res_2001_the-dining-room-at-grand-hyatt-erawan-bangkok-thailand,not_delivering,ad,5404,8398,1.55403405,Website purchases,29,247.64,8.53931034,22/08/2024,,2001,,,,
album_hh_brn_1955_praram-9-kaiyang,inactive,ad,17809,29974,1.68308159,Website purchases,27,832.72,30.84148148,22/08/2024,,,,,,
album_hh_res_grp_15-พิกัดร้านกินดื่ม,inactive,ad,4744,6998,1.47512648,Website purchases,17,339.58,19.97529412,22/08/2024,,15,,,,
album_hh_3629_savio_key – Copy,inactive,ad,4140,8171,1.9736715,Website purchases,17,769.25,45.25,22/08/2024,,3629,,,,
aumjumma | Vertigo Rooftop [Sit in],not_delivering,ad,10539,18324,1.73868488,Website purchases,17,574.62,33.80117647,22/08/2024,,~,,,,
kohkaoyakreviewrr | The Dining Room,not_delivering,ad,2713,4457,1.64283081,Website purchases,11,187.66,17.06,22/08/2024,,~,,,,
album_hh_res_902_the-berkeley-dining-room,inactive,ad,1454,2159,1.48486933,Website purchases,8,89.77,11.22125,22/08/2024,,902,,,,
rooftop_near BTS-nov2024,inactive,ad,1725,2593,1.50318841,Website purchases,6,196.7,32.78333333,22/08/2024,,2024,,,,
kol-fd_hh-kjt_res_3629_savio-at-chatrium-grand-bangkok – Copy,inactive,ad,3141,5430,1.72874881,Website purchases,6,243.7,40.61666667,22/08/2024,,3629,,,,
taekhobfah | Vertigo Rooftop [Sit in],not_delivering,ad,2904,3950,1.36019284,Website purchases,4,159.38,39.845,22/08/2024,,~,,,,
album_hh_res_3629_savio-at-chatrium-grand-bangkok – Copy,inactive,ad,439,665,1.51480638,Website purchases,3,43.4,14.46666667,22/08/2024,,3629,,,,
album_hh_res_grp_hh-eating-alone-22072024,inactive,ad,2929,3817,1.30317515,Website purchases,3,212.8,70.93333333,22/08/2024,,,,,,
Album_HH_280_Vertigo Rooftop_KEY,not_delivering,ad,946,1493,1.5782241,Website purchases,1,121.05,121.05,22/08/2024,,280,,,,
INF_immmheeTV_280_Vertigo Rooftop_KEY,not_delivering,ad,1414,2062,1.4582744,Website purchases,1,82.69,82.69,22/08/2024,,280,,,,
album_hh_res_grp_omakase-hh-2024,inactive,ad,288,342,1.1875,Website purchases,1,17.11,17.11,22/08/2024,,2024,,,,
album_hh_brn_grp_dining-style-grill-bbq,inactive,ad,240,296,1.23333333,Website purchases,1,10.52,10.52,22/08/2024,,~,,,,
album_hh_res_grp_hangout-restaurant-2024,inactive,ad,240,346,1.44166667,,,19.58,,22/08/2024,,2024,,,,
album_hh_res_grp_michelin-hh-2024,inactive,ad,327,347,1.06116208,,,12.8,,22/08/2024,,2024,,,,
album_hh_res_grp_group-corporate-under-thousand-2024 - Copy,inactive,ad,42,44,1.04761905,,,1.62,,22/08/2024,,2024,,,,
vdo_hh_brn_4648_sushi-hiro-shabu-buffet,inactive,ad,389,414,1.06426735,,,5.01,,22/08/2024,,4648,,,,
album_hh_res_grp_top_10restro_michelin,inactive,ad,321,489,1.52336449,,,34.04,,22/08/2024,,,,,,
album_hh_res_grp_10-รูฟท็อปวิวหลักล้าน,inactive,ad,116,163,1.40517241,,,12.14,,22/08/2024,,,,,,
kol-tv_letseatthailand_816_rod dee ded the steakhouse,archived,ad,297832,889547,2.98674085,Website purchases,"3,860",24047.88,6.23002073,23/08/2024,,816,,,,
kol-tv_hh-pgm_res_2749_atrium-restaurant-the-landmark-bangkok-hotel,active,ad,43061,90732,2.10705743,Website purchases,552,4028.11,7.29730072,23/08/2024,,2749,,,,
kol-tv_hh-le_res_6133_bangkok-wonderland,inactive,ad,38238,73953,1.93401852,Website purchases,228,2037.97,8.93846491,23/08/2024,,6133,,,,
kol-tv_hh-ttd_brn_4800_charoen-rung-rueang-international-buffet-ms-siam-tower-rama-3-bangkok,inactive,ad,27786,58604,2.1091197,Website purchases,209,1119.75,5.3576555,23/08/2024,,,,,,
kol-tv_tiewtookduan_3524_ibis staycation (hua hin) _grw,active,ad,23002,50362,2.18946179,Website purchases,173,1505.16,8.70034682,23/08/2024,,3524,,,,
kol-tv_hh-tvkn_res_4263_feast-at-royal-orchid-sheraton-towers,inactive,ad,15101,38669,2.56069134,Website purchases,159,1432.51,9.00949686,23/08/2024,,4263,,,,
kol-fd_hh-pyb_res_816_rod-dee-ded-the-steakhouse,inactive,ad,42439,100691,2.37260539,Website purchases,130,1818.42,13.98784615,23/08/2024,,816,,,,
kol-fd_hh-gbm_res_3949_man-chan-korean-bbq-buffet-seacon-square-srinagarindra,not_delivering,ad,42569,85582,2.01043013,Website purchases,129,1520.58,11.78744186,23/08/2024,,3949,,,,
kol-tv_travelkanuman_3618_takumi at swissotel_grw,archived,ad,7756,18229,2.35030944,Website purchases,102,640.78,6.28215686,23/08/2024,,3618,,,,
kol-fd_hh-ucd_res_4178_butcher-factory-by-bangkok-butcher,inactive,ad,27476,61805,2.24941767,Website purchases,90,1443.39,16.03766667,23/08/2024,,4178,,,,
kol-fd_hh-pyb_brn_3990_chef-thanom-the-street-ratchada,inactive,ad,24229,54300,2.24111602,Website purchases,80,1408.6,17.6075,23/08/2024,,3990,,,,
kol-tv_hh-hht_brn_1682_the-coffee-club-chatrium-sathorn-narathiwas-24,active,ad,2768,5219,1.88547688,Website purchases,64,232.46,3.6321875,23/08/2024,,,,,,
kol-fd_hh-gbm_brn_4375_ma-la-kor-buffet-starting-from-399,inactive,ad,14307,25477,1.7807367,Website purchases,55,670.38,12.18872727,23/08/2024,,,,,,
kol-tv_jernaan.journey_1003_greenhouse avani sukhumvit,inactive,ad,16308,35606,2.1833456,Website purchases,44,1009.45,22.94204545,23/08/2024,,1003,,,,
kol-tv_hh-mcr_brn_3659_you-i-premium-suki-buffet-ics-bangkok,inactive,ad,4798,7606,1.58524385,Website purchases,43,238.48,5.54604651,23/08/2024,,3659,,,,
kol-fd_hh-hmrp_res_3564_s-cafe-at-s31-sukhumvit-hotel,inactive,ad,9647,15770,1.63470509,Website purchases,38,677.03,17.81657895,23/08/2024,,,,,,
kol-tv_hh-ltmm_res_4576_house-of-tango-bangkok,active,ad,2578,4108,1.59348332,Website purchases,36,159.03,4.4175,23/08/2024,,4576,,,,
hh-le_letseatthailand_220_the-living-room-at-sheraton-grande-sukhumvit-a-luxury-collection-hotel-bangkok-thailand_fb_07102025,active,ad,4869,9790,2.01067981,Website purchases,34,367.09,10.79676471,23/08/2024,,,,,,
kol-fd_hh-ott_res_4109_hangetsu-omakase,inactive,ad,8547,15474,1.81045981,Website purchases,33,508.88,15.42060606,23/08/2024,,4109,,,,
kol-tv_tiewtookduan_3884_hotel mys staycation (khao yai)_sal,inactive,ad,6297,10121,1.6072733,Website purchases,32,179.91,5.6221875,23/08/2024,,3884,,,,
kol-tv_hh-mcr_res_4922_gotoku-by-shabu-king,archived,ad,2826,4323,1.52972399,Website purchases,32,139.2,4.35,23/08/2024,,4922,,,,
kol-tv_hh-mcr_res_4227_korea-house-gold-the-fourth-bangkok,active,ad,3777,5650,1.49589621,Website purchases,31,192.88,6.22193548,23/08/2024,,4227,,,,
kol-fd_hh-hmrp_res_2294_market-cafe-by-khao-at-hyatt-regency-bangkok-sukhumvit,inactive,ad,3696,7185,1.94399351,Website purchases,28,473.75,16.91964286,23/08/2024,,2294,,,,
kol-fd_hh-snh_res_1157_assembly-point-thonglor-one-one-hotel-bkk,inactive,ad,4082,6736,1.65017148,Website purchases,26,295.41,11.36192308,23/08/2024,,1157,,,,
kol-tv_hh-ejls_brn_5830_yumcha-teahouse-empire-tower-bangkok,inactive,ad,1875,3260,1.73866667,Website purchases,26,166.26,6.39461538,23/08/2024,,5830,,,,
kol-fd_hh-khs_brn_204_laem-charoen-seafood,inactive,ad,14359,18301,1.27453165,Website purchases,25,361.79,14.4716,23/08/2024,,204,,,,
kol-tv_hh-jj_res_4763_chon-som-at-courtyard-by-marriott-suvarnabhumi-airport,inactive,ad,3928,4988,1.26985743,Website purchases,23,143.71,6.24826087,23/08/2024,,4763,,,,
kol-fd_hh-ebf_res_2446_ytsb-sushibar-vie-hotel-bangkok,inactive,ad,4010,6863,1.71147132,Website purchases,19,208.4,10.96842105,23/08/2024,,2446,,,,
kol-fd_hh-kjt_res_2801_sundance-dayclub-hua-hin,inactive,ad,8295,10478,1.26317058,Website purchases,18,225.16,12.50888889,23/08/2024,,2801,,,,
kol-tv_hh-swt_res_3005_great-harbour-international-buffet-bangkok-thailand,active,ad,1507,1880,1.24751161,Website purchases,13,76.54,5.88769231,23/08/2024,,3005,,,,
kol-tv_hh-ltmm_res_2250_viu-the-st-regis-bangkok,inactive,ad,821,1302,1.58587089,Website purchases,12,54.3,4.525,23/08/2024,,2250,,,,
kol-tv_hh_res_2749_atrium-restaurant-the-landmark-bangkok-hotel,inactive,ad,737,1009,1.36906377,Website purchases,11,50.34,4.57636364,23/08/2024,,2749,,,,
kol-tv_hh-hht_res_3649_chatuchak-cafe-centara-grand-at-central-plaza-ladprao-bangkok,inactive,ad,1545,2398,1.55210356,Website purchases,8,78.82,9.8525,23/08/2024,,3649,,,,
kol-tv_hh-swt_res_4763_chon-som-at-courtyard-by-marriott-suvarnabhumi-airport-bangkok,inactive,ad,694,907,1.30691643,Website purchases,5,33.11,6.622,23/08/2024,,4763,,,,
