rank,name,restaurant_id,segment,has_marketing,priority_score,priority_tier,recommended_channel,growth_component,booking_demand,ga4_demand,internal_mkt_campaign_responsiveness,campaign_responsiveness,score_growth_norm,delta_growth_norm,booking_volume_norm,revenue_per_booking_norm,booking_consistency_norm,listing_pull_raw,months_cnt,listing_pull_norm,view_to_cart_rate,cart_to_purchase_rate,funnel_depth_raw,funnel_depth_norm,n_campaigns,avg_lift_per_day,avg_roi,n_positive_lift,n_negative_lift,channels_used,best_channel,lift_norm,roi_norm,avg_gmv_per_view,n_months_gmv,ga_campaign_responsiveness,risk_thin_ga_demand_data,risk_inverse_attribution_rs,risk_thin_gmv_data,risk_low_gmv_per_view,is_seasonal,booking_growth_rolling,booking_growth_mom_rolling,booking_growth_yoy_rolling,score_growth_mom,score_growth_yoy
1135,Blackyard Roast & Brew,6576,Needs Attention,False,29.957842501426708,"🟠 Activate — untapped, no prior spend",CRM,0.295494080862222,0.24666387991125577,0.023614444562869617,0.0,0.09184549356223176,0.28208213019024503,0.3156120068701875,0.0,0.0934940855323021,0.7287188475052172,657.3333333333334,6.0,0.037677753502894984,0.013184584178498986,0.11538461538461539,0.07450460290216883,0.009551135622844252,,,,,,,,0.0,0.0,5.3400145111554504,2.0,0.1148068669527897,False,False,True,False,False,0.0,0.0,,0.23020036633377047,
1136,Homie Bar & Restaurant,5800,Needs Attention,False,29.952645865436295,"🟠 Activate — untapped, no prior spend",CRM,0.3140141008252648,0.21105233220839453,0.04207026415922525,0.0,0.17274678111587982,0.28208213019024503,0.3619120567777945,0.0,0.024491962390051563,0.6790158116379302,115.0,12.0,0.006591696226419253,0.012318840579710146,1.0,0.604927536231884,0.07754883209203124,,,,,,,,0.0,0.0,7.403427179828991,6.0,0.17274678111587982,False,False,False,False,False,0.0,0.0,,0.23020036633377047,
1137,GINGER FARM kitchen at Central Phuket,5912,Needs Attention,False,29.951324395583427,"🟠 Activate — untapped, no prior spend",CRM,0.23891475141267154,0.23831489861532862,0.03392572782361498,0.0,0.5797567954220315,0.21864994771273222,0.26931195696258053,0.0,0.08212010919017289,0.7122628861942558,110.5,12.0,0.006333760287124587,0.021116138763197588,0.7857142857142857,0.4798750269338505,0.061517695360105366,,,,,,,,0.0,0.0,23.712661676903757,5.0,0.5797567954220315,False,False,False,False,False,-0.22222222222222224,-0.22222222222222224,,0.17843490485690944,
1138,Shakariki432 Major Ratchayothin,4805,Needs Attention,False,29.938738112573997,"🟠 Activate — untapped, no prior spend",CRM,0.20995950194741483,0.25481833411883864,0.01620798238272839,0.0,0.7314020028612304,0.2012578985423757,0.22301190705497356,0.0,0.07453745829542008,0.7748569887673754,137.95238095238096,21.0,0.007907305990864009,0.021401449775629963,0.4032258064516129,0.2504960637812197,0.03211240359611966,,,,,,,,0.0,0.0,33.92055088582201,5.0,0.7314020028612304,False,True,False,False,False,-0.16666666666666666,-0.16666666666666666,,0.16424167649603869,
1139,Benares Modern Indian Cuisine Bangkok,1487,Needs Attention,False,29.894425418815253,"🟠 Activate — untapped, no prior spend",CRM,0.2333035450646454,0.2471648442222068,0.022047695339221348,0.0,0.5844062947067239,0.24016463707109326,0.22301190705497356,0.0,0.08818622990597513,0.7356965841680476,343.14814814814815,27.0,0.019668942202181766,0.05493793847814355,0.28094302554027506,0.19054099071542246,0.02442644847626093,,,,,,,,0.0,0.0,23.926898439654693,9.0,0.5844062947067239,False,False,False,False,False,-0.22222222222222224,-0.22222222222222224,,0.19599251961439773,
1140,Jimmy BBQ & Grill Grand Palazzo Hotel (Pattaya),4803,Needs Attention,False,29.880781023890734,"🟠 Activate — untapped, no prior spend",CRM,0.31934371740026213,0.21061316005352942,0.03130365782936001,0.0,0.15951359084406294,0.275531474512705,0.3850620817315979,0.0,0.11271610555050046,0.5893277612945976,868.9166666666666,21.0,0.04980551924121272,0.058789680636808284,0.1272430668841762,0.09986171238522903,0.01280179641750729,,,,,,,,0.0,0.0,6.9193709096985625,10.0,0.15951359084406294,False,False,False,False,False,0.0,0.0,,0.22485453554442167,
1141,Kyo Roll En - Cafe & Meal Central Rama 9,6295,Needs Attention,False,29.875291230335716,"🟠 Activate — untapped, no prior spend",CRM,0.2440303300121393,0.23824615405844943,0.04038163317526039,0.0,0.5132331902718169,0.21835685491992005,0.2825405426504682,0.0015015015015015015,0.03207461328480437,0.7600772315746918,98.88888888888889,9.0,0.005668221875858102,0.02696629213483146,0.9583333333333334,0.5857865168539326,0.07509504447466268,,,,,,,,0.0,0.0,20.321729037139974,5.0,0.5132331902718169,False,False,False,False,False,-0.25396825396825395,-0.25396825396825395,,0.17819571895658443,
1142,Chuan Kitchen CentralWorld,1771,Needs Attention,False,29.866563068563472,"🟠 Activate — untapped, no prior spend",CRM,0.3645396538254908,0.15505677722519354,0.023935626581144384,0.0,0.2632331902718169,0.4486025850263674,0.23844525702417585,0.0,0.08428116469517744,0.4325747593888011,400.6551724137931,27.0,0.022965192939959612,0.026422239435407523,0.30618892508143325,0.19428225082302295,0.024906060222329156,,,,,,,,0.0,0.0,10.78919741709934,10.0,0.2632331902718169,False,False,False,False,False,0.38888888888888884,0.38888888888888884,,0.36609365982062986,
1143,So asean Cafe & Restaurant - CW Tower,5999,Needs Attention,False,29.865708761409675,"🟠 Activate — untapped, no prior spend",CRM,0.295494080862222,0.2348349445154414,0.010073000536420101,0.0,0.2188841201716738,0.28208213019024503,0.3156120068701875,0.0,0.0540643008795875,0.7287188475052172,219.30769230769232,11.0,0.01257051902442896,0.016485443703963522,0.14893617021276595,0.09595587960924497,0.01230108723833672,,,,,,,,0.0,0.0,11.105934208969352,2.0,0.27360515021459225,False,True,True,False,False,0.0,0.0,,0.23020036633377047,
1144,Mingle Eatery and Poolside (Phuket),5106,Needs Attention,False,29.859690899553232,"🟠 Activate — untapped, no prior spend",CRM,0.29230054929068516,0.24408226204817468,0.011156482890525102,0.0,0.16666666666666666,0.3076262775094216,0.26931195696258053,0.0,0.03510767364270549,0.7784998665178768,340.3157894736842,18.0,0.01950659395882238,0.014692236313021962,0.09473684210526316,0.06271899978836667,0.008040277375807503,,,,,,,,0.0,0.0,7.188396257183752,4.0,0.16666666666666666,False,True,False,False,False,0.0,0.0,,0.25104632373841856,
