restaurant name,cluster,theme,x,y,cluster_confidence,review_count
Junichi Japanese Restaurant,0,Bar & Alcoholic Drinks,2.6944098,-2.1929202,1.0,1
KAWA Izakaya On Nut,0,Bar & Alcoholic Drinks,4.7184896,-1.9699028,1.0,1
KO-YA Yakiniku,0,Bar & Alcoholic Drinks,9.16838,1.3331935,1.0,1
Kagonoya Central Rama 3,0,Bar & Alcoholic Drinks,7.2919235,0.43078965,1.0,1
Kagonoya Central Rama 9,0,Bar & Alcoholic Drinks,7.482819,0.8040153,1.0,1
Kagonoya Central World,0,Bar & Alcoholic Drinks,7.2520585,1.606326,1.0,1
Kagonoya Mega Bangna,0,Bar & Alcoholic Drinks,7.431166,0.31041712,1.0,1
Kanpai Omakase,0,Bar & Alcoholic Drinks,9.223495,0.36008254,1.0,1
Kappou Nihon Ratchapruek,0,Bar & Alcoholic Drinks,7.1195207,-0.3097152,1.0,1
Karawa Omakase,0,Bar & Alcoholic Drinks,8.648646,0.32342082,1.0,1
Karayama Future Park Rangsit,0,Bar & Alcoholic Drinks,7.8280497,-2.11675,1.0,1
Karayama Samyan Mitrtown,0,Bar & Alcoholic Drinks,5.8613234,-2.07632,1.0,1
Karayama Siam Square One,0,Bar & Alcoholic Drinks,8.345944,-2.1069782,1.0,1
Karayama Terminal 21 Rama 3,0,Bar & Alcoholic Drinks,6.9273195,-0.99435335,1.0,1
Katsuya Central Rama 2,0,Bar & Alcoholic Drinks,7.694432,-0.49256665,1.0,1
Katsuya Central Westgate,0,Bar & Alcoholic Drinks,8.487636,-0.9454688,1.0,1
Katsuya CentralWorld,0,Bar & Alcoholic Drinks,7.5801377,-1.8039441,1.0,1
Katsuya Fashion Island,0,Bar & Alcoholic Drinks,6.38505,-0.7351378,1.0,1
Katsuya Fortune Town,0,Bar & Alcoholic Drinks,7.341061,-0.6935147,1.0,1
Katsuya Future Park Rangsit,0,Bar & Alcoholic Drinks,7.9891105,1.0588565,1.0,1
Katsuya Gateway Ekamai,0,Bar & Alcoholic Drinks,6.9660606,-0.7726543,1.0,1
Katsuya Imperial World Samrong,0,Bar & Alcoholic Drinks,6.5743685,-0.6212856,1.0,1
Katsuya Mega Bangna,0,Bar & Alcoholic Drinks,7.2667584,0.63337195,1.0,1
Katsuya Siam Square One,0,Bar & Alcoholic Drinks,5.835156,1.1153284,1.0,1
Katsuya Union Mall,0,Bar & Alcoholic Drinks,7.675074,-0.49030486,1.0,1
Keyaki at Pan Pacific Hotel Singapore,0,Bar & Alcoholic Drinks,7.9423456,-1.1555796,1.0,1
Kisekhi Craft and Fusion Buffet,0,Bar & Alcoholic Drinks,7.4223475,1.1372948,1.0,1
Kisso at The Westin Grande Sukhumvit,0,Bar & Alcoholic Drinks,6.7994165,-0.8676691,1.0,1
Kissuisen At Bangkok Marriott Hotel The Surawongse,0,Bar & Alcoholic Drinks,7.2718215,-1.3508811,1.0,1
Kizuna Shabu & Hand Roll,0,Bar & Alcoholic Drinks,6.9335537,-1.3210409,1.0,1
Kohaku Omakase,0,Bar & Alcoholic Drinks,9.911399,1.3936558,1.0,1
Kokoro Omakase & Hand Roll Bar - Central Eastville,0,Bar & Alcoholic Drinks,9.485314,0.9005145,1.0,1
Kozen Sushi Bar & Restaurant,0,Bar & Alcoholic Drinks,9.336352,1.2248402,1.0,1
Krua Kratare,0,Bar & Alcoholic Drinks,8.000461,-0.40182853,1.0,1
Kushiro Omakase and Japanese Dining,0,Bar & Alcoholic Drinks,8.510831,-1.1225924,1.0,1
Kyo Roll En - Cafe & Meal Central Eastville,0,Bar & Alcoholic Drinks,4.5390563,-2.7364912,1.0,1
Kyo Roll En - Cafe & Meal Gateway Ekamai,0,Bar & Alcoholic Drinks,5.97594,-0.48164323,1.0,1
Kyoto Uji Saryo Iconsiam,0,Bar & Alcoholic Drinks,4.6734977,-3.1998422,1.0,1
Liu Liu Hotpot 六六火锅 Rangsit Khlong 3,0,Bar & Alcoholic Drinks,5.955372,-1.4495238,1.0,1
Long Jim Shabu,0,Bar & Alcoholic Drinks,5.804528,-1.0035373,1.0,1
Maison Mizuki at Sofitel Bangkok Sukhumvit Hotel,0,Bar & Alcoholic Drinks,7.7332144,-1.2754769,1.0,1
Manee Me More Central Westgate,0,Bar & Alcoholic Drinks,6.1382337,-0.9335871,1.0,1
Manee Me More Esplanade Ratchadaphisek,0,Bar & Alcoholic Drinks,5.426471,0.15966214,1.0,1
Manee Me More Fashion Island,0,Bar & Alcoholic Drinks,7.2228055,-0.39996368,1.0,1
Manee Me More Homepro Rama 3,0,Bar & Alcoholic Drinks,6.552975,1.5416256,1.0,1
Masaru Sushi,0,Bar & Alcoholic Drinks,9.152889,-0.792478,1.0,1
Matane Shabu&Sushi Premium Buffet (Kratumbaen Branch),0,Bar & Alcoholic Drinks,6.3770876,-2.3154743,1.0,1
Matsuo Izakaya,0,Bar & Alcoholic Drinks,2.3440888,-1.6344359,1.0,1
Mekiki no Ginji,0,Bar & Alcoholic Drinks,7.534371,-1.5042053,1.0,1
Midori Sushi Ratchapruek,0,Bar & Alcoholic Drinks,7.756601,-1.3296065,1.0,1
Mikado at Royal princess Larn Luang hotel,0,Bar & Alcoholic Drinks,7.604909,-1.4821,1.0,1
Mizuki Omakase,0,Bar & Alcoholic Drinks,9.823357,1.1279728,1.0,1
Modan Japanese Restaurant Muang Thong,0,Bar & Alcoholic Drinks,7.204867,-1.8594311,1.0,1
Momono Omakase,0,Bar & Alcoholic Drinks,9.34809,1.2690914,1.0,1
Moru Sushi,0,Bar & Alcoholic Drinks,6.751882,-0.050222673,1.0,1
Muteki by Mugendai Samyan Mitrtown,0,Bar & Alcoholic Drinks,6.448122,-0.2979293,1.0,1
NJ Shabu Shabu Pattaya,0,Bar & Alcoholic Drinks,6.5387588,-2.0998387,1.0,1
Nabezo Premium,0,Bar & Alcoholic Drinks,6.636286,-2.1971955,1.0,1
Namba Shabu Banthat thong,0,Bar & Alcoholic Drinks,7.9714165,-0.6347498,1.0,1
Namba Shabu Saimai,0,Bar & Alcoholic Drinks,7.7837043,-1.1884816,1.0,1
Namba Shabu The Mall Lifestore Tha Phra,0,Bar & Alcoholic Drinks,6.825701,0.09907824,1.0,1
Nami Sushi (Phuket),0,Bar & Alcoholic Drinks,9.021394,-0.8904289,1.0,1
Nami Teppanyaki Steakhouse at JW Marriott Hotel Bangkok,0,Bar & Alcoholic Drinks,2.2983427,2.7500856,1.0,1
Nen (念) Rama 9,0,Bar & Alcoholic Drinks,7.3682795,-1.8350245,1.0,1
