name
Audrey Cafe Thonglor Soi 11
Attico Cucina Italiana Radisson Blu Plaza Bangkok
The Living Room at Sheraton Grande Sukhumvit A Luxury Collection Hotel
Rain Tree Cafe at The Athenee Hotel
Skyline at Avani+ Riverside Bangkok Hotel
Vertigo Rooftop Banyan Tree
Orchid Cafe at Sheraton Grande Sukhumvit A Luxury Collection Hotel
Audrey Cafe EmQuartier
Audrey Cafe Central Ladprao
Up & Above Restaurant and Bar (Rooftop) at The Okura Prestige Bangkok
Bai Yun Banyan Tree Bangkok
Broccoli Revolution Sukhumvit 49
Mojjo Rooftop Lounge & Bar Skyview Hotel
Boon Tong Kee Seacon Square
Boon Tong Kee Central Pinklao
Le Boeuf
Vertigo TOO Banyan Tree
Boon Tong Kee Sukhumvit 49
Cantina Wine Bar & Italian Kitchen
Miche Boulangerie and Coffee Bar
THINK Cafe @ The BLOC
Barsu at Sheraton Grande Sukhumvit
The Eatery at Four Points by Sheraton Bangkok Sukhumvit 15
Red Oven SO/ Bangkok
Seafresh Riverside Buffet
PAUL Bakery CentralWorld
"Bistro M at Marriott Executive Apartments Sukhumvit Park, Bangkok"
Romsai Banyan Tree Hotel
Brasserie 9
The Berkeley Dining Room
Kisso at The Westin Grande Sukhumvit
Neta Grill Seacon Square Srinagarindra
Boon Tong Kee The Up Rama 3
TORA Yakiniku x Café The City Connect 
The Mulberry Chinese Cuisine The Berkeley Hotel
Crave (Aloft Bangkok - Sukhumvit 11)
Amaya Food Gallery Amari Bangkok
Krua Nai Noi Seafood
Prince Cafe at Prince Palace Hotel Bangkok
China Palace at Prince Palace Hotel Bangkok
Cafe Claire by Oriental Residence
Neta Grill Central Rama 2
Greenhouse Restaurant Avani Sukhumvit Bangkok
Ruen Petch Suki Nonthaburi Bypass Road
The Emperor Montien Riverside Hotel
KBBQ Sukhumvit 
Boon Tong Kee Central Eastville
Brewski Rooftop Sports Bar Radisson Blu Plaza Bangkok (Indoor)
27 Bites Brasserie at Radisson Blu Plaza Bangkok
Jaw Nuea Chokchai 4
Yao Rooftop Bar Bangkok Marriott Hotel The Surawongse
The Kitchen Table (Buffet) at W Bangkok Hotel 
Assembly Point Thonglor @ One One Hotel Bkk
Blue Sky Rooftop Bar Centara Grand at Central Plaza Ladprao
Mexicano Restaurante Autentico
Saffron Cruise by Banyan Tree
Earw Thai Suki Boran The Crystal SB Ratchapruek
Man Ho Chinese Restaurant at JW Marriott Hotel
Red Sky Rooftop & Bar 56th Floor
You&I Premium Suki Buffet Mega Bangna
You&I Premium Suki Buffet Central Westgate
You&I Premium Suki Buffet Central Eastville
You&I Premium Suki Buffet Zpell Future Park Rangsit 
Earw Thai Suki Boran Central Plaza Rama 3
Earw Thai Suki Boran Central Plaza WestGate
Earw Thai Suki Boran Seacon Square Srinagarindra
Earw Thai Suki Boran K Village
Chowpati Indian Street Food Bangkok
You&I Premium Suki Buffet Samyan Mitrtown
You&I Premium Suki Buffet The Nine Center
VANIDA Bangkok
Kuang Seafood Ratchada
You&I Premium Suki Buffet The Mall Bangkae
You&I Premium Suki Buffet The EmQuartier
You&I Premium Suki Buffet The Crystal Ratchapruek
Oaker Steak
The Seafood Cafe & Restaurant
The House of Smooth Curry - The Athenee Hotel
The Silk Road - The Athenee Hotel
Praya Kitchen Bangkok Marriott Hotel The Surawongse
Benares Modern Indian Cuisine Bangkok
Thara Thong Royal Orchid Sheraton
Paii at The House on Sathorn
Zest Bar & Terrace @ The Westin Grande Sukhumvit
La Tavola Renaissance Bangkok
The Bakery at The Athenee Hotel
SEEN Rooftop Avani Riverside
Benihana at Riverside Plaza
Flavors at Renaissance Bangkok
Moom Muum Park Terminal 21 Asok
Panorama Crowne Plaza Bangkok Lumpini Park
Takieng at Renaissance Resort & Spa (Phuket)
Skyview Hotel Sukhumvit Soi 24 Staycation 
Rossini's at Sheraton Grande Sukhumvit A Luxury Collection Hotel
Fallabella River Front Iconsiam
The Coffee Club Singha Complex
The Coffee Club Wireless Road
The Coffee Club Maitria Hotel
SOSHI So/ Bangkok
The Coffee Club Chatrium Sathorn Narathiwas 24
The Coffee Club Mode Sathorn BTS Surasak
The Coffee Club River City
The Coffee Club Holiday Inn Express Sathorn
The Coffee Club Tha Maharaj
Shintaro at Anantara Siam Hotel
Baan Khanitha and Gallery Sathorn
Albricias at Chatrium Residence Sathorn
Banyan Tree Bangkok Staycation
Rim Talay @ Amari Patong (Phuket)
JUMBO Seafood Iconsiam
Stella Palace 79th floor at Baiyoke Sky Hotel 79th floor
THE Map Mestyle Museum Hotel
Tsu Japanese Restaurant at JW Marriott Hotel Bangkok
Chuan Kitchen CentralWorld
Savoey Riverview Rama 3
Hong Kong Fisherman
Neta Grill Central Westgate
More Than a Game Cafe
Zhang Restaurant (Rama Gardens Hotel)
Zeta Café Holiday Inn Bangkok Sukhumvit 22
57th Street Marriott Sukhumvit 57
The Coffee Club Royal Garden Plaza (Pattaya)
The Coffee Club Boat Avenue (Phuket)
The Coffee Club Day Inn (Phuket)
The Coffee Club Turtle Village (Phuket)
River Barge at Chatrium Hotel Riverside Bangkok
Muteki by Mugendai Samyan Mitrtown
NEXT2 Cafe at Shangri-La Hotel Bangkok
Sumo 888 Izakaya Ari
Spectrum Rooftop at Hyatt Regency Bangkok Sukhumvit
Hong Teh Chinese Restaurant
Baba Beach Club Natai at Sri Panwa (Phang-nga)
Sirimahannop Asiatique The Riverfront
Kenny Rogers Roasters (Phuket)
Praram 9 Kaiyang The Promenade 
Praram 9 Kaiyang The Market Bangkok
Benihana JW Marriott (Phuket)
Chatrium Residence Sathon Bangkok Staycation
Chatrium Hotel Riverside Bangkok Staycation
Le Mecier Bangkok
The Dining Room at Grand Hyatt Erawan
Oishi Eaterium Future Park Rangsit
Oishi Eaterium Fashion Island
Oishi Eaterium Central Rama 9
Oishi Eaterium Central Korat (Nakhon Ratchasima)
Ventisi Restaurant Centara Grand at CentralWorld
The Sky 32 at Grande CentrePoint Hotel (Pattaya)
Neta Grill Market Village Rangsit
Tea Factory and More (Pattaya)
Somtum Villa (Pattaya)
Tantitium (Phuket)
Don Giovanni Centara Grand at Central Plaza Ladprao Bangkok
Yin D House (Chonburi)
Kongju Restaurant at Pathumwan Princess Hotel
Nami Teppanyaki Steakhouse at JW Marriott Hotel Bangkok
Red Rose Chinese Restaurant & Jazz Lounge at Shanghai Mansion
Beach Walk Cafe Bangsaen (Chonburi)
JUMBO Seafood Siam Paragon
Baba Poolclub at Sri Panwa (Phuket)
Shabu Henmee Watcharapol
Virgin Rooftop (Pattaya)
Cairo Bangkok
Oxide Cafe
Benihana Grand Mercure Bangkok Atrium
Amara Bangkok Hotel Staycation
Fei Ya at Renaissance Bangkok
Biscotti Anantara Siam Bangkok Hotel
Mojjo Skyview Resort Patong (Phuket)
The Coffee Club Samyan Mitrtown
PAUL Bakery The Emporium
Dynasty Centara Grand Central Ladprao
Viu The St. Regis Bangkok
Beef Express Yothinpattana 3
Takiap Thong (Phuket)
Banana Beach Koh Hey (Phuket) 
The Dim Sun Bar at Avista Grande Phuket Karon - M Gallery Collection (Phuket) 
The Oyster Bay 101 True Digital Park 
Market Cafe Hyatt Regency Bangkok Sukhumvit
Yamazato at The Okura Prestige Bangkok
Oceanside Beach Club & Restaurant (Hua Hin)
Aleenta Restaurant in Aleenta Hua Hin Resort & Spa (Hua hin)
Khao Ekkamai 
Khao Wireless Road
RIB ROOM & BAR Steakhouse The Landmark Bangkok 
MoMo Café Courtyard Marriott Rajdamri
ALATi at Siam Kempinski Hotel Bangkok
Sui Sian Restaurant The Landmark Bangkok Hotel
Ploen Restaurant
The District Grill Room & Bar Bangkok Marriott Hotel Sukhumvit
Samui Aussie Steak & Seafood (Samui)
OJI Omakase Sathorn
UNO MAS at Centara Grand Central World
YTSB SUSHIBAR - VIE Hotel Bangkok
82 Concept 
Beach Walk Boutique Resort Staycation (Chonburi)
4K Café Cross Vibe Bangkok Sukhumvit Hotel
Saffron Sky Garden Rooftop Banyan Tree Bangkok
Xin Tian Di Crowne Plaza Bangkok Lumpini Park
Pattaya Sea View Staycation (Pattaya)
Saffron Contemporary Thai Signature Rooftop Banyan Tree Bangkok
13 Coins Sukhumvit 49 
Earw Thai Express Fashion Island
Giorgio's Riverside Royal Orchid Sheraton Hotel
Cross Vibe Bangkok Sukhumvit Staycation
Bangkok Balcony  (Indoor Zone) 81st floor at Baiyoke Sky Hotel
Mama Pasta The PARQ 
Thanankarn Cafe (Pattaya)
Fire Chilli Ratchada 19
Chay Had Restaurant at Hilton Resort & Spa (Hua Hin)
White Lotus Restaurant and Rooftop at Hilton Resort & Spa (Hua Hin)
Krua Talad Yai by Courtyard Marriott (Phuket)
Longtail Restaurant by Anantara Riverside bangkok
Luna Lanai Restaurant at Sheraton (Hua Hin)
Sky Box (Outdoor Zone): Bangkok Balcony Rooftop 81st Floor Baiyoke Sky Hotel 
Gallery Cafe Nai Harn (Phuket)
Gallery Cafe Chalong (Phuket)
The Square at Novotel Bangkok Bangna
Alangkarn Sushi Rama 2
The St. Regis Bar and The Drawing Room
KBBQ The Street Ratchada
Uzzie Restaurant by Maitria Mode Sukhumvit 15
Maitria Mode Sukhumvit 15 Bangkok Staycation
Pool Bar by Maitria Mode Sukhumvit 15
M Café M Hotel (Pattaya)
Santa Monica
The Mayflower Restaurant at Dusit Princess Srinakarin
Na Klongwan Vibhavadi 20
The Hilltop Aonang (Krabi)
Kin Chan Si Grilled FISH & ISAAN Thai Food
ARUN THAI CUISINE BY SEE FAH
123 ICHI NI SAN Sathorn Soi 1
Nimitr Rooftop by 137 Pillars
Bangkok Trading Post Bistro & Bar by 137 Pillars
Anya Authentic Thai Cuisine
Toplofty Cafe (Khao Yai)
Atrium Restaurant The Landmark Bangkok Hotel
Karkinos Beach Club by Apsara Beachfront Resort and Villa (Phang-nga)
Chef Naree
Rolling Ribs at Le Méridien Bangkok
Shore Kitchen & Rooftop bar at Hotel clover Patong (Phuket)
Great&Grand Sweet Destination (Pattaya)
The Continent Hotel Staycation
King Seafood (Pattaya)
The Royal Kitchen Chinese Restaurant Royal Paradise Patong (Phuket)
Sundance Dayclub (Hua Hin)
Novotel Bangkok Bangna Staycation
Johann Mala
The Coffee Club Ashlee Hub Hotel Patong (Phuket)
The Coffee Club TCC OZO Kata (Phuket)
Rendezvous Lounge & Bar The Landmark Bangkok Hotel
Buonissimo Italian Restaurant & Pizzeria
Grand Mercure Bangkok Atrium Staycation
Fat Belly (Pattaya)
The Chocolate Factory Pattanakarn
Cross Pratamnak Staycation (Pattaya)
Mode Sathorn Hotel Staycation
Baba Beach Restaurant at Baba Beach Club (Hua Hin)
Above Riva at Riva Arun
Babble and Grill at Riva Surya Bangkok
Karayama Siam Square One
Karayama Cosmo Bazaar 
Karayama Samyan Mitrtown
Baba IKI at Sri Panwa (Phuket)
Kyoto Uji Saryo Iconsiam
You&I Premium Suki Buffet CentralWorld
Trader Vic's at Anantara Riverside Bangkok Resort
Private Dining at Cape Panwa Hotel (Phuket)
Cafe22 by Courtyard by Marriott North Pattaya (Pattaya)
Rabbit Hole at Phuket (Phuket)
Red Sky Restaurant 55th Floor
COCOA XO Bar at Red Sky 57th Floor
Lee Kitchen at Lee Place Hotel
LEE Cafe' Central Silom Tower
LEE Cafe' Q House Lumpini
LEE Cafe' Phloenchit Center
Chow Mong Local Kitchen at The Peri Hotel (Hua Hin)
JW Café at JW Marriott Hotel Bangkok
Seasonal Tastes The Westin Grande Sukhumvit
BlueSpice Grande Centre Point Sukhumvit 55
Baan Daeng by Methavalai Sorndaeng
Surf Bar at Courtyard by Marriott North (Pattaya)
Lim Kwong Meng Restaurant
The Rooftop by Mode Sathorn Hotel
Andamanda Waterpark (Phuket)
Khaodongmoodaeng Siriraj Wang Lang 
ZILA STREET BISTRO & BAR @MASON
Great Harbour International Buffet
The Press Sky Bar Rooftop at The Printing House Poshtel Bangkok
