input_string,found,official_name,city,country,formatted_address,rating,website,error
The Cradle At Ayara Kamala Resort & Spa (Phuket),True,Ayara Kamala Resort,Kathu,Thailand,"22/10 Moo 6, Layi-Nakalay Rd Kamala, Kathu, ภูเก็ต 83150, Thailand",4.7,http://www.ayarakamalaresort.com/,
Luminous at Lumen Bangkok Udomsuk Station,True,Lumen Bangkok Udomsuk Station,,Thailand,"15 Sukhumvit 103 Rd, Bang Na Nuea, Khet Bang Na, Krung Thep Maha Nakhon 10260, Thailand",4.6,http://www.lumenbkkudomsuk.com/,
La Luna,True,The Lunar Rabbit Boulangerie,Singapore,Singapore,"16 Hamilton Rd, #01-02, Singapore 209186",4.5,https://www.lunar-rabbit.com/,
ESAN Zaap Jueng,True,Esan Zap Thai Cuisine,Lacey,United States,"9323 Martin Way E #114/116, Lacey, WA 98516, USA",4.4,https://www.esanzapcafe.com/,
77 JET SIP JET,True,77JetSIPJet,,Thailand,"77 JET SIP JET 74/77. ซ. เสนานิเวศน์ 108/3, 18 ถ. เสนานิคม 1 แขวงจรเข้บัว ลาดพร้าว กรุงเทพมหานคร 10230, Thailand",5.0,https://www.facebook.com/profile.php?id=61563277714206&mibextid=LQQJ4d,
Rogues Bar at InterContinental Bangkok Sukhumvit,True,ROGUES Bar,,Thailand,"10 Sukhumvit 59, Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",4.9,https://rogues-bar.com/,
Bukla Kumpaeng,False,,,,,,,No results found
Heng Heng Lao Suthisan,True,เฮงเฮงเหลา สาขาสุทธิสาร,,Thailand,"1139 QHRF+2CR, 1 Thanon Sutthisan Winitchai, Ratchadaphisek, Khet Din Daeng, Krung Thep Maha Nakhon 10400, Thailand",4.9,https://www.facebook.com/profile.php?id=100093067360086,
Tora-San At CentrePoint Orchard,True,Tora-San @ CentrePoint Orchard,Singapore,Singapore,"176 Orchard Rd, #03-44 CENTREPOINT, Singapore 238843",4.8,https://www.facebook.com/torasan.sg/,
Sen Sai Isan Pathum Thani ,True,Saw sam sai Thai restaurant,,Thailand,"12, 1 Sukhumvit 61, Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",4.4,http://sawsamsaicatering.com/,
Sen Sai Isan Bangsaen,True,Swensen’s Bangsaen Beach,Tambon Saen Suk,Thailand,"ถนนบางแสนล่าง Tambon Saen Suk, Amphoe Mueang Chon Buri, Chang Wat Chon Buri 20130, Thailand",4.5,https://facebook.com/SwensenBangsaenBeach,
Brewave Ratchada,True,Brewave Ratchada,,Thailand,"A201-A202, 2nd floor, Design village, แขวงรัชดาภิเษก เขตดินแดง กรุงเทพมหานคร 10400, Thailand",4.9,https://www.facebook.com/Brewave?mibextid=LQQJ4d,
