channel,activities,total_bookings_during,total_baseline,total_lift,avg_lift,median_lift,lift_rate_vs_baseline
CRM,702,6627.0,4062.0,2565.0,3.6538461538461537,1.0,0.6314623338257016
FB,12,223.0,241.0,-18.0,-1.5,-1.0,-0.07468879668049792
KOL,492,8759.0,7087.0,1672.0,3.3983739837398375,1.0,0.2359249329758713
